index,degree,closeness,betweenness,eigenvector,entropyK,meanK
肖村,0.004830917874396135,0.07099982850282971,0.028109196679572502,7.573747016328699e-05,88.81621945921302,0.007487965760490236
崇文门,0.00966183574879227,0.088348271446863,0.022631570747678086,0.025228169193619428,136.97587946102763,0.030914391766299152
车公庄,0.00966183574879227,0.09866539561487132,0.07034585899389602,0.278931268866637,126.15546511978964,0.026709821674214568
望京东,0.004830917874396135,0.07165109034267912,0.04725643635002515,0.0008193640443445898,47.51665934167065,0.004125854105258658
西苑,0.00966183574879227,0.06704453441295546,0.05319975202068054,0.0018438241378321266,56.41415797743114,0.004965881476864893
丰台南路,0.00966183574879227,0.07291299753434308,0.04950043377746812,0.00031451191865809064,76.11380709482218,0.007541204986483508
科怡路,0.004830917874396135,0.06850901869932152,0.02291496567008541,9.16121650922664e-05,74.74010999133232,0.006962107184649314
木樨地,0.00966183574879227,0.08791675514971331,0.054041225120378594,0.021957572333983245,121.95454251331397,0.024746458561063944
化工,0.004830917874396135,0.06583969465648855,0.05018694006745378,0.00016176552867087113,120.54295567591835,0.01108404540205231
泃河湾,0.0024154589371980675,0.044573643410852716,0.0,6.980897576339397e-09,112.21109577451875,0.01120747904073522
方庄,0.004830917874396135,0.07972270363951472,0.020662238253620638,0.0012066609946294851,120.36877641561009,0.016868408836006234
生物医药基地,0.004830917874396135,0.04552952820851204,0.004830917874396136,8.654062971244506e-09,63.68419930485033,0.005058290048056386
勇士营,0.004830917874396135,0.07590759075907591,0.019183305845059714,0.002379273262943998,59.353646298770514,0.0051808107551588045
海淀黄庄,0.00966183574879227,0.07946257197696736,0.051140415535429216,0.023566796224629285,86.88288377985346,0.00998796562850649
朝阳港,0.004830917874396135,0.07617295308187673,0.04202684103199949,0.0008691491428221794,92.6526700130695,0.007692668632263615
回龙观,0.004830917874396135,0.07009820521503556,0.015818344775977326,0.000123192508026981,87.46708899060542,0.009082986341544086
天通苑,0.004830917874396135,0.06420595533498759,0.004830917874396136,7.299163900163045e-05,55.87845622843169,0.004915518137742113
稻田,0.004830917874396135,0.059576917542092385,0.087787018516569,2.517481283952361e-06,56.245789970256304,0.00506502784446994
通运门,0.004830917874396135,0.04955116696588869,0.023920646617772632,1.794627117390969e-07,79.84363130137258,0.005907626801589402
富丰桥,0.004830917874396135,0.06803615447822514,0.014422570796925991,8.984510957428722e-05,55.80518291255649,0.004663322823753169
朝阳门,0.00966183574879227,0.09826726798006173,0.13498668172504388,0.10164309692150587,144.22193758061687,0.0393807610547121
王府井北,0.004830917874396135,0.08990228013029318,0.004458107704360343,0.03257368953629165,137.5309993965747,0.03391379353092188
